,column_name,percent_missing
Before_Sent_Calls,Before_Sent_Calls,0.0
Before_Call_Entropy,Before_Call_Entropy,5.778301886792453
Before_Mode_Calling_Distance,Before_Mode_Calling_Distance,5.778301886792453
Before_Perc_of_Calls_to_Dar,Before_Perc_of_Calls_to_Dar,5.778301886792453
Before_Calls_to_Dar_Ward_Rank,Before_Calls_to_Dar_Ward_Rank,6.014150943396227
Before_Calls_to_Dar_Subward_Rank,Before_Calls_to_Dar_Subward_Rank,6.014150943396227
After_Sent_Calls,After_Sent_Calls,0.0
After_Call_Entropy,After_Call_Entropy,5.778301886792453
After_Mean_Calling_Distance,After_Mean_Calling_Distance,5.778301886792453
After_Perc_Home_Calls,After_Perc_Home_Calls,5.778301886792453
After_Number_of_Home_Visits,After_Number_of_Home_Visits,0.0
Before_Mean_Balance,Before_Mean_Balance,8.608490566037736
Before_Money_Received_Normed,Before_Money_Received_Normed,6.132075471698113
Before_Money_Sent_Normed,Before_Money_Sent_Normed,6.132075471698113
Before_Cashin_Normed,Before_Cashin_Normed,0.0
Before_CashOut_Normed,Before_CashOut_Normed,0.0
Before_UtilityBill_Normed,Before_UtilityBill_Normed,0.0
Had_MFS_Before,Had_MFS_Before,0.0
After_Mean_Balance,After_Mean_Balance,0.7075471698113207
After_Money_Received_Normed,After_Money_Received_Normed,0.1179245283018868
After_Money_Sent_Normed,After_Money_Sent_Normed,0.1179245283018868
After_Cashin_Normed,After_Cashin_Normed,0.0
After_CashOut_Normed,After_CashOut_Normed,0.0
After_UtilityBill_Normed,After_UtilityBill_Normed,0.0
H_dist_Average,H_dist_Average,0.0
Visited_University,Visited_University,0.0
Visited_Dar_Before_Moved,Visited_Dar_Before_Moved,0.0
Rural_Ward,Rural_Ward,2.358490566037736
Region_HDI,Region_HDI,4.245283018867925
Region_Life_Expectancy,Region_Life_Expectancy,0.4716981132075472
Region_Expected_Years_Schooling,Region_Expected_Years_Schooling,6.839622641509434
Region_GDPpc,Region_GDPpc,3.0660377358490565
Region_NonIncome_HDI,Region_NonIncome_HDI,4.245283018867925
